0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:42:43 +0900] "GET /css/boostcourse/project-A1/portfolio.css HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:42:43 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:42:46 +0900] "GET /Css/html/boostcourse/project-A1/portfolio.html HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:42:46 +0900] "GET /css/boostcourse/project-A1/portfolio.css HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:42:46 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:46:21 +0900] "GET /Css/html/boostcourse/project-A1/portfolio.html HTTP/1.1" 200 336
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:46:21 +0900] "GET /css/boostcourse/project-A1/portfolio.css HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:46:21 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:46:22 +0900] "GET /Css/html/boostcourse/project-A1/portfolio.html HTTP/1.1" 200 336
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:46:22 +0900] "GET /css/boostcourse/project-A1/portfolio.css HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:46:22 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:47:57 +0900] "GET /Css/html/boostcourse/project-A1/portfolio.html HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:47:57 +0900] "GET /Css/css/boostcourse/project-A1/portfolio.css HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:47:57 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:48:01 +0900] "GET /Css/html/boostcourse/project-A1/portfolio.html HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:48:01 +0900] "GET /Css/css/boostcourse/project-A1/portfolio.css HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:48:01 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:48:02 +0900] "GET /Css/html/boostcourse/project-A1/portfolio.html HTTP/1.1" 200 455
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:48:02 +0900] "GET /Css/css/boostcourse/project-A1/portfolio.css HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:48:02 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [17/Jun/2019:20:48:20 +0900] "GET /Css/html/boostcourse/project-A1/portfolio.html HTTP/1.1" 200 454
